Datetime,url of tweet,lenguaje,re-twittes,Tweet Id,Text,Username
2021-09-10 23:51:11+00:00,https://twitter.com/etl_p0/status/1436477385323450375,ar,0,1436477385323450375,ابي امص ونزغب وله كاش 1000 #موجب_بريدة #موجب_القصيم #سالب_الرس #موجب_الرس #موجب_عنيزة #سالب_عنيزة ..,etl_p0
2021-09-10 23:51:03+00:00,https://twitter.com/etl_p0/status/1436477350653440001,ar,0,1436477350653440001,ابي امص ونزغب وله كاش 1000 #موجب_بريدة #موجب_القصيم #سالب_الرس #موجب_الرس #موجب_عنيزة #سالب_عنيزة .,etl_p0
2021-09-10 23:50:51+00:00,https://twitter.com/etl_p0/status/1436477301802377217,ar,0,1436477301802377217,ابي امص ونزغب وله كاش 1000 #موجب_بريدة #موجب_القصيم #سالب_الرس #موجب_الرس #موجب_عنيزة #سالب_عنيزة #سالب_القصيم,etl_p0
2021-09-10 23:50:10+00:00,https://twitter.com/etl_p0/status/1436477128443375620,ar,0,1436477128443375620,ابي امص ونزغب وله كاش 1000 #موجب_بريدة #موجب_القصيم #سالب_الرس #موجب_الرس #موجب_عنيزة #سالب_عنيزة,etl_p0
2021-09-10 23:50:05+00:00,https://twitter.com/clintsharp/status/1436477106888658944,en,0,1436477106888658944,We went from failing ETL jobs trying to understand orders to real time dashboards that could tell us whether any business transaction was failing in real time. It changed how we saw managing an application from trying to monitor speeds and feeds to monitoring business impact.,clintsharp
2021-09-10 23:48:51+00:00,https://twitter.com/artofcrumbs/status/1436476796380139524,en,0,1436476796380139524,@dindjaddy Of course!!! The OG ETL even tho it ended up sads 🥲 https://t.co/tY8ErGcNM5,artofcrumbs
2021-09-10 23:41:29+00:00,https://twitter.com/etl_p0/status/1436474943588478976,ar,0,1436474943588478976,@oll79057696 خاص,etl_p0
2021-09-10 23:40:22+00:00,https://twitter.com/etl_p0/status/1436474663224369152,ar,0,1436474663224369152,@fq_gay خاص,etl_p0
2021-09-10 23:38:42+00:00,https://twitter.com/etl_p0/status/1436474243689193477,ar,0,1436474243689193477,@n5fkWtzsKVLBkIh تابعن وتعال خاص,etl_p0
2021-09-10 23:37:14+00:00,https://twitter.com/etl_p0/status/1436473872354795522,ar,0,1436473872354795522,@fq_gay خاص ولك كاش,etl_p0
2021-09-10 23:36:46+00:00,https://twitter.com/etl_p0/status/1436473757439254537,ar,0,1436473757439254537,@fq_gay تعال ولك كاش ١٠٠٠,etl_p0
2021-09-10 23:35:34+00:00,https://twitter.com/etl_p0/status/1436473456044949507,ar,0,1436473456044949507,@n5fkWtzsKVLBkIh اوصافك,etl_p0
2021-09-10 23:34:53+00:00,https://twitter.com/etl_p0/status/1436473280756690946,ar,0,1436473280756690946,@4iigz خاص ولك كاش,etl_p0
2021-09-10 23:33:46+00:00,https://twitter.com/etl_p0/status/1436473002812747778,ar,0,1436473002812747778,@ix65b خاص,etl_p0
2021-09-10 23:28:15+00:00,https://twitter.com/antares21scorpi/status/1436471614087045123,en,0,1436471614087045123,"COINMARKETCAP: 1 ETL #EtherLite = $0.0213 USD - Hey #Ethereum Supporters! Collect your #ETL #Airdrop Now, #ETH Holding X 12 https://t.co/AXUfoEHKaa",antares21scorpi
2021-09-10 23:16:21+00:00,https://twitter.com/ELS01ANA/status/1436468616212488216,tr,0,1436468616212488216,o etl,ELS01ANA
2021-09-10 23:13:46+00:00,https://twitter.com/Yuriy_P/status/1436467968209297410,en,0,1436467968209297410,iPaaS Or Not? Options For Moving Your ETL To Cloud | Meetup https://t.co/fG5BnonT2e,Yuriy_P
2021-09-10 23:13:34+00:00,https://twitter.com/daaaarklina/status/1436467917760208918,en,0,1436467917760208918,"@darklyinlove Ew , this is really not about the ship anymore they were blantly homophobic . It just shows it's all excuses",daaaarklina
2021-09-10 23:07:05+00:00,https://twitter.com/etl_p0/status/1436466286532468737,ar,0,1436466286532468737,#سالب_البكيريه  #سالب_القصيم من يقابل وله كاش ١٠٠٠,etl_p0
2021-09-10 23:00:03+00:00,https://twitter.com/xenonpartners/status/1436464517014331399,en,0,1436464517014331399,"Xplenty blog: The Importance of CDC for ETL
https://t.co/PMN8hWTIWr
#Xplenty https://t.co/PyEWNJ1JZ6",xenonpartners
2021-09-10 22:55:10+00:00,https://twitter.com/daaaarklina/status/1436463288536141824,en,0,1436463288536141824,@MYTHChildMusic @greyjedireylo This cup looks so beautiful 😭 Any idea where I can find it ?,daaaarklina
2021-09-10 22:53:31+00:00,https://twitter.com/opsmatters_uk/status/1436462872608059392,en,2,1436462872608059392,"The latest update for #Xplenty includes ""The Pros and Cons of Application Software #Integration"" and ""What Scenario Should You Use CDC for?"".
 
#ETL #BigData #DataAnalytics #DataPipelines https://t.co/81szCu9S0c",opsmatters_uk
2021-09-10 22:52:44+00:00,https://twitter.com/ETL_kay/status/1436462674221703193,eu,0,1436462674221703193,@JollofGuy Ego be😅😅,ETL_kay
2021-09-10 22:51:37+00:00,https://twitter.com/angyportugues/status/1436462394188967936,es,0,1436462394188967936,Buscamos Desarrollador ETL SSR o SR para procesos - BA Empleo -  https://t.co/fbumiE1k9g,angyportugues
2021-09-10 22:47:33+00:00,https://twitter.com/lETL5yjogOOtsyi/status/1436461371646898179,ja,0,1436461371646898179,"3.誕生日
→9/30",lETL5yjogOOtsyi
2021-09-10 22:47:00+00:00,https://twitter.com/lETL5yjogOOtsyi/status/1436461231427112962,ja,0,1436461231427112962,"2.性別
→女の子",lETL5yjogOOtsyi
2021-09-10 22:46:52+00:00,https://twitter.com/RemoteTechJobs0/status/1436461199655276548,en,0,1436461199655276548,"https://t.co/WWsMsWs1gk is hiring: ETL Data Quality Analyst

NCSolutions is hiring a ETL Data Quality Analyst to play a key role in their sales efforts with Advertisers and Agencies across the U.S.! SUMMARY: NCSolutions (NCS)...

https://t.co/AO1TUoDKAw
#Remote #sql #Jobs",RemoteTechJobs0
2021-09-10 22:46:04+00:00,https://twitter.com/lETL5yjogOOtsyi/status/1436460995233267712,ja,0,1436460995233267712,"1.年齢
→寺田心くんと芦田愛菜ちゃんの間",lETL5yjogOOtsyi
2021-09-10 22:46:01+00:00,https://twitter.com/thefoxauctions/status/1436460984802189335,en,0,1436460984802189335,ETL August: Dr. Kim Bercovitz of Byte-Size Wellness Shows How to Keep Attendees Energized https://t.co/af4hb1FUTb,thefoxauctions
2021-09-10 22:45:54+00:00,https://twitter.com/RetroDman1996/status/1436460956998148114,en,0,1436460956998148114,"#Conman167 community are you ready for a good time tonight, I just have this feeling that tonight will be a very good night indeed.  #ETL #Conman @conman167🤪🤔 🤣",RetroDman1996
2021-09-10 22:45:48+00:00,https://twitter.com/daaaarklina/status/1436460931819741221,en,0,1436460931819741221,@strkovsalina You're really pretty ❤️,daaaarklina
2021-09-10 22:43:18+00:00,https://twitter.com/daaaarklina/status/1436460302032310273,en,0,1436460302032310273,@starlessmilaya Honestly I'm disgusted but also kinda sorry ? It's pretty depressing never having any possitive friendship with the same sex 😭 ( although I have to say most of the girls who say that shit are also the ones starting the drama so I can't say I 100% pity her ),daaaarklina
2021-09-10 22:42:17+00:00,https://twitter.com/BFaahion/status/1436460042866380802,en,0,1436460042866380802,USB Wall Charger Surge Protector 5 Outlet Extender with 4 USB Charging Ports ( 1 USB C Outlet) 3 Sided 1800J Power Strip Multi Plug Outlets Wall Adapter Spaced for Home Travel Office ETL Listed https://t.co/zXqJ7RlQxB,BFaahion
2021-09-10 22:38:44+00:00,https://twitter.com/etlSd8VkNSMYaTL/status/1436459152994230274,ja,0,1436459152994230274,"@moritakayu_ki スピード、スタミナMAXで金スキル四つ、
しゅごしゅぎる…",etlSd8VkNSMYaTL
2021-09-10 22:31:04+00:00,https://twitter.com/tmj_phx_itdb/status/1436457222125412356,en,0,1436457222125412356,"We're hiring in #Phoenix, AZ! Click the link in our bio to apply to this job and more: ETL/Datawarehouse Consultant at Deloitte #Database",tmj_phx_itdb
2021-09-10 22:21:11+00:00,https://twitter.com/daaaarklina/status/1436454735402475550,en,0,1436454735402475550,@bsolofucker Omg you're so gorgeous 😭😭😭,daaaarklina
2021-09-10 22:17:31+00:00,https://twitter.com/daaaarklina/status/1436453812932419591,en,0,1436453812932419591,"@gffanonsense I think part of it is because people STILL don't consider reylo cannon dispite literally be cannon 😬 And of course some good old mysogyny ( Stephanie Meyer and 50 shades are women ,reylo shippers are mostly either women or queer people , meanwhile and both Rian and J.J are men )",daaaarklina
2021-09-10 22:17:04+00:00,https://twitter.com/P2000EttenLeur/status/1436453698675294208,nl,0,1436453698675294208,directe inzet: a1 4872la : hap etl bredaseweg hap etl etten-leur 91344 #ettenleur,P2000EttenLeur
2021-09-10 22:10:35+00:00,https://twitter.com/etlSd8VkNSMYaTL/status/1436452067283910656,ja,0,1436452067283910656,@miyu_misato その時、ふと閃いた！このアイディアは、サトノダイヤモンドとのトレーニングに活かせるかもしれない,etlSd8VkNSMYaTL
2021-09-10 22:09:38+00:00,https://twitter.com/daaaarklina/status/1436451828422647817,en,0,1436451828422647817,@redemptionarcs Why to piss off fans of that said trope ?,daaaarklina
2021-09-10 22:09:13+00:00,https://twitter.com/daaaarklina/status/1436451722294071296,en,0,1436451722294071296,@redemptionarcs Idk why people think flexing their book not having ( insert popular trope ) as if it's somehow an accomplishment ? Like congrats I guess ? I mean obviously someone doesn't have to add thongs they dislike on books ( I have tones of popular tropes I dislike abs wouldn't use ) but,daaaarklina
2021-09-10 22:06:50+00:00,https://twitter.com/mezianeetdaryl/status/1436451121644675099,en,0,1436451121644675099,Therapy ? https://t.co/2sdxPU9Urc,mezianeetdaryl
